,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
180,0.764,0.948,1,-4.355,0,0.0402,0.00929,0.0773,0.416,0.911,129.967
181,0.397,0.381,3,-8.553,1,0.0294,0.835,0.0,0.0829,0.423,148.649
182,0.664,0.642,6,-5.961,1,0.038,0.129,0.0,0.114,0.501,118.002
183,0.217,0.905,2,-4.103,1,0.0752,0.000289,0.00011,0.222,0.236,96.95
184,0.253,0.574,0,-12.488,1,0.0314,1.22e-05,0.651,0.0466,0.171,82.061
185,0.82,0.427,10,-12.728,0,0.0827,0.459,0.0494,0.0447,0.887,121.481
186,0.575,0.555,9,-12.528,0,0.0465,0.356,0.00149,0.154,0.616,115.003
187,0.593,0.74,8,-6.12,1,0.0339,0.363,2.22e-05,0.102,0.502,118.008
188,0.778,0.547,2,-7.273,1,0.0489,0.346,0.000302,0.132,0.441,95.002
189,0.851,0.806,4,-4.62,1,0.0787,0.118,1.64e-06,0.121,0.787,118.999
190,0.607,0.878,4,-4.422,1,0.0665,0.000246,0.0,0.337,0.853,119.955
191,0.543,0.485,8,-6.85,1,0.0305,0.558,0.0,0.12,0.371,136.961
192,0.583,0.637,0,-6.464,1,0.0459,0.00722,0.0419,0.177,0.315,80.004
193,0.563,0.86,8,-7.533,1,0.0621,0.00834,0.0106,0.39,0.517,97.867
194,0.526,0.509,7,-10.893,1,0.0628,0.6,0.0,0.144,0.497,138.318
195,0.456,0.933,0,-5.212,1,0.153,0.375,0.0,0.563,0.367,125.051
196,0.463,0.484,10,-13.259,1,0.0395,0.456,0.0,0.125,0.513,77.521
197,0.594,0.561,5,-11.666,1,0.0603,0.524,0.00222,0.0724,0.617,140.286
198,0.607,0.462,5,-10.004,0,0.0287,0.614,8.42e-06,0.0724,0.346,75.752
199,0.836,0.509,0,-13.668,1,0.0548,0.467,4.1e-06,0.0436,0.949,138.714
200,0.601,0.532,10,-9.119,1,0.0286,0.432,6.25e-06,0.0925,0.341,136.571
201,0.578,0.492,0,-12.713,1,0.0296,0.0096,9.11e-05,0.256,0.202,126.823
202,0.567,0.945,9,-7.243,1,0.0458,0.175,2.6e-06,0.35,0.961,150.792
203,0.519,0.875,0,-6.488,1,0.132,0.223,0.0,0.0915,0.766,152.092
204,0.611,0.912,0,-6.775,1,0.0398,0.105,0.0,0.117,0.77,101.307
205,0.637,0.333,3,-9.603,1,0.0262,0.181,0.0,0.147,0.588,84.347
206,0.712,0.967,7,-5.206,1,0.047,0.0771,0.0,0.356,0.895,145.024
207,0.514,0.681,7,-10.026,1,0.065,0.199,0.0356,0.0745,0.913,136.821
208,0.725,0.838,5,-9.063,1,0.0355,0.18,2.36e-06,0.112,0.746,131.478
209,0.822,0.87,9,-6.257,1,0.0592,0.124,0.0,0.045,0.901,109.174
210,0.504,0.797,10,-4.305,1,0.0493,0.000105,0.148,0.0393,0.654,97.547
211,0.493,0.636,1,-7.408,1,0.0256,0.0629,2.49e-06,0.0921,0.279,79.419
212,0.789,0.494,4,-9.496,0,0.0324,0.407,0.808,0.226,0.781,120.025
213,0.638,0.336,2,-7.52,1,0.0248,0.759,0.0,0.0728,0.567,78.86
214,0.488,0.88,9,-5.158,1,0.045,0.000121,0.000783,0.103,0.389,148.051
215,0.553,0.874,2,-3.685,0,0.0401,0.00388,0.00184,0.104,0.319,127.961
216,0.42,0.377,6,-7.203,0,0.0264,0.339,0.000123,0.166,0.0969,103.989
217,0.369,0.433,7,-6.67,0,0.0331,0.04,0.000517,0.109,0.069,119.984
218,0.424,0.944,4,-6.031,0,0.0576,9.82e-06,0.065,0.345,0.502,158.997
219,0.563,0.869,9,-8.163,1,0.052,0.0235,1.14e-05,0.2,0.716,140.587
220,0.778,0.547,2,-7.273,1,0.0489,0.346,0.000302,0.132,0.441,95.002
221,0.587,0.924,7,-2.918,1,0.041,0.000133,0.0,0.285,0.746,113.998
222,0.937,0.654,8,-11.187,1,0.322,0.00533,1.26e-06,0.0542,0.607,128.462
223,0.496,0.863,9,-4.153,1,0.0381,0.0046,0.0,0.639,0.243,110.018
224,0.562,0.939,0,-4.282,1,0.0475,0.046,0.0,0.112,0.684,116.044
225,0.564,0.71,11,-4.92,0,0.0461,0.00125,0.0,0.109,0.393,91.972
226,0.696,0.921,0,-3.755,1,0.0363,0.00314,5.24e-05,0.0842,0.714,119.001
227,0.505,0.71,3,-3.015,1,0.0321,0.19,0.00025,0.329,0.428,89.938
228,0.479,0.545,7,-7.346,1,0.0688,0.365,0.0,0.0963,0.244,74.897
229,0.718,0.82,5,-3.453,0,0.0323,0.0444,0.0,0.0846,0.613,92.998
230,0.559,0.777,1,-5.031,1,0.0432,0.31,0.0,0.105,0.329,87.016
231,0.664,0.705,1,-4.972,0,0.0382,0.0654,0.0,0.115,0.477,122.017
232,0.651,0.695,6,-3.218,1,0.0487,0.23,0.0,0.144,0.569,123.008
233,0.47,0.431,5,-6.129,0,0.0342,0.329,0.0,0.0854,0.289,157.98
234,0.519,0.749,6,-3.318,0,0.0405,0.271,0.0,0.119,0.29,147.905
235,0.732,0.396,4,-9.348,0,0.0286,0.0841,3.58e-05,0.105,0.548,90.024
236,0.769,0.505,1,-7.345,1,0.0829,0.311,7.49e-05,0.0777,0.757,171.804
237,0.662,0.716,10,-7.575,0,0.16,0.028,0.0,0.0727,0.548,167.947
238,0.598,0.488,6,-10.905,1,0.0307,0.741,0.779,0.0945,0.396,144.977
239,0.707,0.538,0,-5.264,1,0.505,0.362,0.0,0.317,0.439,121.732
240,0.69,0.834,0,-5.79,1,0.0566,0.129,0.0,0.136,0.738,127.43
241,0.738,0.852,7,-6.13,1,0.0766,0.00153,0.0895,0.178,0.834,119.735
242,0.366,0.598,5,-8.272,1,0.0425,0.434,0.0,0.124,0.552,135.597
243,0.487,0.81,4,-4.067,0,0.0357,0.000754,0.0,0.352,0.702,123.493
244,0.653,0.631,9,-11.334,1,0.0461,0.299,0.00265,0.0627,0.516,156.32
245,0.728,0.921,5,-3.302,1,0.0323,0.05,7.92e-06,0.137,0.936,124.143
246,0.486,0.918,11,-4.181,0,0.125,0.0121,0.00372,0.0697,0.734,164.038
247,0.676,0.577,10,-12.031,1,0.0365,0.186,0.0,0.148,0.934,91.98
248,0.673,0.629,2,-7.072,1,0.0299,0.00141,0.0,0.0944,0.551,103.998
249,0.477,0.415,10,-10.592,1,0.0313,0.754,0.00356,0.104,0.418,87.907
250,0.7,0.864,7,-3.629,1,0.0283,0.0212,0.0,0.0956,0.887,102.997
251,0.621,0.246,0,-11.162,1,0.0598,0.81,1.21e-05,0.133,0.452,75.093
252,0.642,0.875,6,-3.14,1,0.042,0.0233,0.0,0.19,0.556,124.946
253,0.21,0.94,9,-3.427,1,0.123,0.00602,0.0,0.269,0.255,179.722
254,0.663,0.72,3,-5.497,1,0.0331,0.00212,0.0,0.358,0.608,135.342
255,0.663,0.776,6,-8.111,1,0.0417,0.0155,0.292,0.0885,0.444,124.731
256,0.263,0.871,2,-7.496,1,0.131,0.106,0.0,0.363,0.622,206.68
257,0.677,0.985,1,-4.678,1,0.0549,0.07,3.62e-05,0.351,0.87,118.092
258,0.668,0.906,11,-4.881,0,0.17,0.214,0.00245,0.135,0.507,135.653
259,0.488,0.481,6,-9.514,0,0.0397,0.769,3.33e-06,0.877,0.556,155.507
260,0.797,0.782,1,-5.69,0,0.103,0.0013,0.00155,0.0491,0.377,121.019
261,0.521,0.625,1,-7.47,1,0.067,0.0301,0.0,0.121,0.136,101.019
262,0.641,0.63,8,-6.393,1,0.0521,0.0372,0.0,0.4,0.415,79.955
263,0.392,0.402,0,-9.961,0,0.0536,0.288,0.0,0.243,0.228,143.883
264,0.551,0.913,0,-4.063,0,0.0466,0.0263,1.35e-05,0.347,0.544,119.992
265,0.616,0.455,6,-5.946,1,0.045,0.886,0.0,0.134,0.762,126.049
266,0.56,0.653,0,-6.282,1,0.0468,0.413,1.19e-06,0.0971,0.655,182.37
